City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,aral,40.5156,81.2636,297.29,26,12,2.16,CN,1726457136
278,salinopolis,-0.6136,-47.3561,299.62,80,41,5.5,BR,1726457137
279,boyolangu,-8.1181,111.8935,301.86,55,61,4.39,ID,1726457138
280,stornoway,58.2093,-6.3865,281.13,93,100,1.03,GB,1726457139
281,mirny,62.5353,113.9611,277.31,56,6,2.92,RU,1726457140
282,luziania,-16.2525,-47.9503,294.59,30,0,2.85,BR,1726457141
283,alofi,-19.0595,-169.9187,300.09,74,38,4.12,NU,1726457142
284,brookings,44.3114,-96.7984,295.47,80,0,3.6,US,1726457143
285,qamdo,31.1667,97.2333,286.82,58,53,2.37,CN,1726457144
286,yabelo,4.8833,38.0833,288.78,62,96,5.04,ET,1726457147
287,tura,25.5198,90.2201,299.49,81,100,1.24,IN,1726457148
288,lauro de freitas,-12.8944,-38.3272,297.16,78,20,4.12,BR,1726457149
289,sal rei,16.1833,-22.9167,298.36,80,97,4.12,CV,1726457150
290,smithers,54.7804,-127.1743,284.33,76,100,4.63,CA,1726457151
291,sanctuary point,-35.1114,150.629,287.88,36,3,5.33,AU,1726457152
292,florence,43.7667,11.25,287.71,92,0,1.03,IT,1726457153
293,raja,8.4596,25.678,293.47,97,16,1.8,SS,1726457116
294,coahuayana de hidalgo,18.7,-103.6583,299.42,93,100,1.25,MX,1726457155
295,portland,45.5234,-122.6762,289.63,77,35,1.34,US,1726457009
296,kargil,34.5667,76.1,280.77,44,1,1.44,IN,1726457157
297,konde,-4.95,39.75,295.99,84,16,3.01,TZ,1726457158
298,fomboni,-12.28,43.7425,298.55,73,5,2.42,KM,1726457160
299,boca suno,-0.7167,-77.1333,298.31,66,89,1.32,EC,1726457162
300,piton saint-leu,-21.2196,55.3151,291.21,52,0,4.12,RE,1726457163
301,inhambane,-23.865,35.3833,296.22,94,19,4.19,MZ,1726457164
302,recreo,-29.2818,-65.061,289.05,30,0,4.66,AR,1726457165
303,pionki,51.476,21.4499,288.9,96,99,2.57,PL,1726457166
304,el granada,37.5027,-122.4694,289.03,85,40,9.77,US,1726457167
305,puerto baquerizo moreno,-0.9,-89.6,294.34,87,100,5.17,EC,1726457168
306,veracruz,19.3333,-96.6667,296.72,99,92,0.26,MX,1726456861
307,ceelbuur,4.685,46.6176,296.35,81,7,6.82,SO,1726457170
308,zhezqazghan,47.7833,67.7667,286.47,67,0,10.0,KZ,1726457171
309,vilyuchinsk,52.9306,158.4028,287.3,62,15,8.42,RU,1726457172
310,rio preto da eva,-2.6994,-59.6997,303.99,34,18,2.04,BR,1726457173
311,holualoa,19.6228,-155.9522,301.39,74,20,4.12,US,1726457174
312,port moresby,-9.4431,147.1797,301.83,74,40,5.14,PG,1726457175
313,hobyo,5.3505,48.5268,297.5,84,14,8.47,SO,1726457176
314,vetluzhskiy,58.3902,45.4654,286.33,73,100,0.7,RU,1726457177
315,barcelos,41.5388,-8.6151,291.31,27,0,3.18,PT,1726457180
316,kingston,17.997,-76.7936,303.68,74,20,2.06,JM,1726457181
317,porto velho,-8.7619,-63.9039,300.18,74,0,1.54,BR,1726457158
